Date,Temperature,Anomaly
1895,28.4,-3.0
1896,27.8,-3.6
1897,28.6,-2.8
1898,33.2,1.8
1899,29.2,-2.2
1900,30.1,-1.3
1901,30.4,-1.0
1902,28.3,-3.1
1903,28.3,-3.1
1904,23.1,-8.3
1905,26.4,-5.0
1906,35.5,4.1
1907,32.0,0.6
1908,30.1,-1.3
1909,31.5,0.1
1910,29.2,-2.2
1911,34.0,2.6
1912,22.1,-9.3
1913,39.2,7.8
1914,29.9,-1.5
1915,32.8,1.4
1916,34.3,2.9
1917,31.2,-0.2
1918,20.1,-11.3
1919,34.0,2.6
1920,22.3,-9.1
1921,32.3,0.9
1922,27.1,-4.3
1923,28.8,-2.6
1924,31.1,-0.3
1925,26.8,-4.6
1926,30.4,-1.0
1927,29.3,-2.1
1928,32.4,1.0
1929,30.4,-1.0
1930,31.7,0.3
1931,31.2,-0.2
1932,41.6,10.2
1933,38.7,7.3
1934,33.1,1.7
1935,27.3,-4.1
1936,27.7,-3.7
1937,38.6,7.2
1938,30.5,-0.9
1939,30.6,-0.8
1940,23.4,-8.0
1941,27.8,-3.6
1942,29.1,-2.3
1943,29.2,-2.2
1944,32.3,0.9
1945,23.6,-7.8
1946,32.5,1.1
1947,35.5,4.1
1948,23.8,-7.6
1949,37.0,5.6
1950,40.1,8.7
1951,34.8,3.4
1952,34.6,3.2
1953,36.1,4.7
1954,29.7,-1.7
1955,29.9,-1.5
1956,31.0,-0.4
1957,27.4,-4.0
1958,30.8,-0.6
1959,30.1,-1.3
1960,32.8,1.4
1961,26.0,-5.4
1962,30.3,-1.1
1963,29.0,-2.4
1964,34.6,3.2
1965,28.6,-2.8
1966,30.8,-0.6
1967,36.0,4.6
1968,25.3,-6.1
1969,30.5,-0.9
1970,23.8,-7.6
1971,25.6,-5.8
1972,34.0,2.6
1973,34.5,3.1
1974,34.2,2.8
1975,36.3,4.9
1976,26.6,-4.8
1977,21.3,-10.1
1978,27.6,-3.8
1979,31.3,-0.1
1980,32.1,0.7
1981,24.9,-6.5
1982,24.8,-6.6
1983,33.2,1.8
1984,28.5,-2.9
1985,27.5,-3.9
1986,32.8,1.4
1987,31.4,0.0
1988,28.6,-2.8
1989,36.5,5.1
1990,40.5,9.1
1991,34.0,2.6
1992,34.8,3.4
1993,35.4,4.0
1994,24.6,-6.8
1995,36.6,5.2
1996,30.5,-0.9
1997,32.1,0.7
1998,40.0,8.6
1999,33.9,2.5
2000,31.3,-0.1
2001,33.6,2.2
2002,39.9,8.5
2003,27.5,-3.9
2004,24.7,-6.7
2005,31.3,-0.1
2006,40.9,9.5
2007,37.5,6.1
2008,36.5,5.1
2009,27.9,-3.5
2010,32.5,1.1
2011,29.7,-1.7
2012,37.3,5.9
2013,35.1,3.7
2014,28.7,-2.7
2015,30.0,-1.4
2016,34.5,3.1
2017,38.1,6.7
2018,31.8,0.4
2019,32.6,1.2
2020,39.2,7.8
